GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Adam,Sandler,Adam Sandler,Adam Sandler,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Adam.Sandler,Adam.Sandler@raudz.com,Adam.Sandler@raudz.com,N/A,N/A,20220098,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Tom,Hanks,Tom Hanks,Tom Hanks,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,Tom.Hanks,Tom.Hanks@raudz.com,Tom.Hanks@raudz.com,N/A,N/A,20220099,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
DavidLee,Roth,DavidLee Roth,DavidLee Roth,TOT,Front of House,Busser,Restaurant Manager,The Okanagan Table,DavidLee.Roth,DavidLee.Roth@raudz.com,DavidLee.Roth@raudz.com,N/A,N/A,20220100,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Mickey,Dolenz,Mickey Dolenz,Mickey Dolenz,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,Mickey.Dolenz,Mickey.Dolenz@raudz.com,Mickey.Dolenz@raudz.com,N/A,N/A,20220101,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Peter,Tork,Peter Tork,Peter Tork,TOT,Back of House,Sous Chef,Restaurant Manager,The Okanagan Table,Peter.Tork,Peter.Tork@raudz.com,Peter.Tork@raudz.com,N/A,N/A,20220102,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Davy,Jones,Davy Jones,Davy Jones,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Davy.Jones,Davy.Jones@raudz.com,Davy.Jones@raudz.com,N/A,N/A,20220103,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Michael,Nesmith,Michael Nesmith,Michael Nesmith,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Michael.Nesmith,Michael.Nesmith@raudz.com,Michael.Nesmith@raudz.com,N/A,N/A,20220104,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Keith,Richards,Keith Richards,Keith Richards,TOT,Back of House,Line Cook,Restaurant Manager,The Okanagan Table,Keith.Richards,Keith.Richards@raudz.com,Keith.Richards@raudz.com,N/A,N/A,20220105,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Stevie,Wonder,Stevie Wonder,Stevie Wonder,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,Stevie.Wonder,Stevie.Wonder@raudz.com,Stevie.Wonder@raudz.com,N/A,N/A,20220106,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
Jennifer,Lennon,Jennifer Lennon,Jennifer Lennon,TOT,Back of House,Warewasher,Restaurant Manager,The Okanagan Table,Jennifer.Lennon,Jennifer.Lennon@raudz.com,Jennifer.Lennon@raudz.com,N/A,N/A,20220107,"OU=RauDZ,DC=Int,DC=RauDZ,DC=ca"
